,Jurisdiction,year,County,DiversionRateHouse,DiversionRateNoOfEmployee,Bins,D.R.E_category,D.R.H_category,Population,MedianAge,Latino,White,Black,Asian,LaberFocre,LaberForceEmplyed,LaberForceUnemployed,UnemploymentRate,FemalesEmploymentRate,CoummuteTime,MedianIncome,PovertyRate,TotalUnit,1-UnitDetached,1-UnitAttached,MoreThan20UnitsInStructure,MedianNoOfRooms,MedianHouseValue,MedianGrossRent
12,Arcadia,2013,Los Angeles,0.6827956989247312,0.6894977168949772,"(0.65, 0.8]",Good,Good,55704.0,41.1,12.1,27.7,0.9,57.4,28074.0,26743.0,1331.0,4.7,54.1,28.1,77024.0,9.1,19488.0,61.1,10.3,9.6,5.6,786400.0,1315.0
13,Arcata,2013,Humboldt,0.6216216216216217,0.5952380952380952,"(0.5, 0.65]",Okay,Okay,17100.0,27.7,12.5,76.1,2.3,2.2,9542.0,8722.0,820.0,8.6,61.1,16.2,32017.0,28.5,7863.0,42.9,6.4,7.3,4.4,349800.0,797.0
14,Arvin,2013,Kern,0.5333333333333334,0.44339622641509435,"(0.5, 0.65]",Low,Okay,18329.0,22.1,88.6,10.3,0.0,0.9,7519.0,6457.0,1062.0,14.1,49.9,25.1,32949.0,33.1,4346.0,72.8,2.7,3.2,5.1,169000.0,726.0
15,Atherton,2013,San Mateo,0.7807017543859649,0.7750511247443763,"(0.65, 0.8]",Good,Good,6837.0,45.8,4.3,81.6,0.5,10.2,2549.0,2387.0,162.0,6.4,34.2,20.7,223611.0,7.1,2373.0,99.4,0.6,0.0,9.0,1000000.0,2000.0
16,Auburn,2013,Placer,0.6486486486486487,0.5235849056603774,"(0.5, 0.65]",Okay,Okay,13451.0,45.2,7.5,88.3,0.9,1.0,6798.0,6398.0,400.0,5.9,52.7,23.9,60756.0,8.9,6356.0,67.5,4.8,7.2,5.5,455700.0,921.0
17,Avalon,2013,Los Angeles,0.5633802816901408,0.6428571428571428,"(0.5, 0.65]",Okay,Okay,3661.0,34.5,61.5,37.4,0.0,0.0,2298.0,2188.0,110.0,4.8,77.3,11.2,47634.0,11.5,2126.0,26.5,6.1,12.3,4.0,843000.0,1003.0
18,Avenal,2013,Kings,0.6704545454545454,0.6486486486486487,"(0.65, 0.8]",Okay,Good,15749.0,25.7,85.1,13.2,1.3,0.2,6428.0,5490.0,938.0,14.6,43.6,27.8,33350.0,37.7,3513.0,62.0,3.4,1.9,4.9,170100.0,643.0
19,Azusa,2013,Los Angeles,0.6666666666666666,0.6229946524064172,"(0.65, 0.8]",Okay,Good,46015.0,28.1,66.8,21.1,3.3,7.6,24392.0,22322.0,2070.0,8.5,61.9,28.3,51894.0,17.4,13148.0,45.4,13.5,15.2,4.6,385200.0,1172.0
20,Bakersfield,2013,Kern,0.6388888888888888,0.6056338028169015,"(0.5, 0.65]",Okay,Okay,331868.0,29.5,43.8,39.6,8.0,5.2,155591.0,139722.0,15869.0,10.2,58.4,22.1,53997.0,17.3,114587.0,70.8,2.8,4.9,5.4,245100.0,906.0
21,Baldwin Park,2013,Los Angeles,0.63,0.7156488549618321,"(0.5, 0.65]",Good,Okay,75387.0,30.5,81.0,5.0,0.6,12.3,34548.0,31028.0,3520.0,10.2,53.4,30.0,50346.0,15.9,18295.0,71.6,6.9,9.2,4.9,358800.0,1156.0
22,Banning,2013,Riverside,0.6557377049180327,0.5146579804560261,"(0.65, 0.8]",Okay,Good,29030.0,45.2,35.5,49.2,6.5,6.0,10279.0,9299.0,980.0,9.5,40.2,23.5,38979.0,14.6,13072.0,75.5,4.1,1.1,5.0,233200.0,920.0
23,Barstow,2013,San Bernardino,0.702247191011236,0.7303921568627452,"(0.65, 0.8]",Good,Good,22983.0,33.1,38.4,35.4,16.3,2.2,10239.0,9350.0,889.0,8.7,55.6,25.3,45166.0,21.4,9720.0,57.0,2.1,2.7,4.9,154400.0,784.0
24,Beaumont,2013,Riverside,0.8092783505154639,0.7125890736342043,"(0.8, 1.0]",Good,Great,32847.0,32.7,39.3,45.9,3.3,8.6,14325.0,13358.0,967.0,6.8,51.9,32.3,66121.0,11.0,12348.0,82.2,1.9,2.6,5.4,278000.0,909.0
25,Bell,2013,Los Angeles,0.6000000000000001,0.7469879518072289,"(0.5, 0.65]",Good,Okay,35648.0,28.3,91.8,6.3,1.2,0.2,15349.0,13739.0,1610.0,10.5,48.4,28.5,38473.0,22.6,9576.0,60.6,9.0,4.4,4.0,340300.0,950.0
26,Bell Gardens,2013,Los Angeles,0.6395348837209303,0.6528301886792454,"(0.5, 0.65]",Good,Okay,42408.0,27.3,96.1,2.4,0.5,0.6,18292.0,16816.0,1476.0,8.1,48.9,28.1,39167.0,22.7,10316.0,61.5,12.6,3.1,4.2,394600.0,997.0
27,Bellflower,2013,Los Angeles,0.675,0.7325581395348837,"(0.65, 0.8]",Good,Good,75944.0,31.3,50.9,21.7,12.5,11.9,36628.0,33957.0,2671.0,7.3,58.0,26.7,50565.0,13.1,25446.0,49.6,8.4,19.2,4.5,423400.0,1094.0
28,Belmont,2013,San Mateo,0.7452830188679245,0.7178217821782178,"(0.65, 0.8]",Good,Good,25281.0,39.3,11.4,60.3,2.0,20.4,14518.0,13663.0,855.0,5.9,64.9,25.4,99913.0,3.6,10859.0,58.1,5.9,20.9,5.2,900100.0,1392.0
29,Benicia,2013,Solano,0.5333333333333333,0.5214592274678111,"(0.5, 0.65]",Okay,Okay,26959.0,45.0,11.6,70.8,4.2,7.5,15372.0,14630.0,742.0,4.8,65.9,29.7,87018.0,5.2,11905.0,65.9,7.5,3.4,5.6,515200.0,1243.0
30,Berkeley,2013,Alameda,0.7769230769230769,0.7678571428571428,"(0.65, 0.8]",Good,Good,109408.0,31.6,11.2,53.9,9.4,20.6,56531.0,52737.0,3794.0,6.7,56.1,25.6,58617.0,18.9,46926.0,42.3,4.2,14.5,4.3,731100.0,1177.0
31,Big Bear Lake,2013,San Bernardino,0.7099236641221374,0.6661237785016287,"(0.65, 0.8]",Good,Good,5171.0,40.3,22.1,74.3,0.7,0.0,2049.0,1859.0,190.0,9.3,40.8,12.7,32299.0,21.1,9592.0,83.6,0.9,3.7,4.8,390500.0,934.0
32,Blue Lake,2013,Humboldt,0.9319371727748691,0.9801803940185141,"(0.8, 1.0]",Great,Great,1293.0,31.3,5.6,83.4,2.2,0.5,697.0,681.0,16.0,2.3,61.6,17.0,48750.0,14.5,632.0,63.3,1.9,1.4,5.0,324500.0,874.0
33,Blythe,2013,Riverside,0.6744186046511629,0.7414965986394557,"(0.65, 0.8]",Good,Good,21164.0,34.7,49.9,30.4,15.8,1.8,5586.0,5086.0,500.0,9.0,53.9,14.8,41856.0,16.8,5686.0,58.5,2.5,2.8,5.0,174700.0,658.0
34,Brea,2013,Orange,0.5521739130434782,0.5396039603960395,"(0.5, 0.65]",Okay,Okay,38427.0,37.8,22.5,57.2,1.1,17.1,21219.0,19761.0,1458.0,6.9,62.5,28.2,79647.0,5.7,14910.0,56.6,9.6,12.0,5.5,598600.0,1351.0
35,Brentwood,2013,Contra Costa,0.7241379310344828,0.7414285714285713,"(0.65, 0.8]",Good,Good,46283.0,34.8,27.0,55.2,5.6,7.4,20935.0,19385.0,1550.0,7.4,57.0,39.7,89515.0,5.4,16094.0,86.9,3.5,3.7,6.7,471600.0,1567.0
36,Brisbane,2013,San Mateo,0.7928994082840236,0.6708860759493671,"(0.65, 0.8]",Good,Good,4098.0,40.8,25.1,40.6,0.8,27.7,2680.0,2395.0,285.0,10.6,72.0,25.4,90156.0,6.1,1788.0,57.1,12.1,5.1,4.8,695400.0,1333.0
37,Buellton,2013,Santa Barbara,0.7272727272727273,0.793010752688172,"(0.65, 0.8]",Good,Good,4609.0,38.9,40.1,52.2,0.0,3.3,2759.0,2597.0,162.0,5.9,68.6,23.3,63988.0,7.3,1551.0,67.3,4.3,0.6,5.4,561100.0,1313.0
38,Buena Park,2013,Orange,0.6587301587301587,0.6666666666666666,"(0.65, 0.8]",Good,Good,79744.0,34.4,36.5,29.3,4.1,27.3,39823.0,37046.0,2777.0,7.0,58.9,28.1,63295.0,9.8,23895.0,58.2,7.3,14.2,5.3,485000.0,1341.0
39,Burbank,2013,Los Angeles,0.736842105263158,0.7540983606557377,"(0.65, 0.8]",Good,Good,102723.0,38.6,24.7,60.0,2.0,11.0,57740.0,53812.0,3928.0,6.8,61.9,25.2,63356.0,8.2,43446.0,44.7,4.3,19.2,4.3,608800.0,1299.0
40,Burlingame,2013,San Mateo,0.6686746987951808,0.6666666666666666,"(0.65, 0.8]",Good,Good,28204.0,40.5,11.2,64.8,1.7,18.6,14815.0,13845.0,970.0,6.5,56.8,25.9,81849.0,7.2,12347.0,48.3,4.4,16.3,4.8,1000000.0,1338.0
41,Calabasas,2013,Los Angeles,0.7093023255813953,0.7155172413793103,"(0.65, 0.8]",Good,Good,22686.0,42.5,7.3,76.9,2.6,10.5,11574.0,10717.0,857.0,7.4,55.7,29.9,116403.0,6.0,8686.0,68.7,7.5,6.5,6.8,962700.0,1853.0
42,California City,2013,Kern,0.6351351351351351,0.7368951612903225,"(0.5, 0.65]",Good,Okay,13264.0,32.6,24.9,55.9,13.4,2.1,5883.0,4781.0,1102.0,18.7,59.7,30.2,47038.0,23.0,5495.0,77.5,1.9,1.1,5.4,174400.0,907.0
43,Calimesa,2013,Riverside,0.6145833333333333,0.4046242774566474,"(0.5, 0.65]",Low,Okay,7869.0,48.3,23.2,72.4,0.6,0.8,3207.0,2956.0,251.0,7.8,41.3,32.9,48945.0,13.7,3500.0,59.4,3.5,0.0,5.3,233700.0,1183.0
44,Camarillo,2013,Ventura,0.7272727272727273,0.6914893617021276,"(0.65, 0.8]",Good,Good,63599.0,40.6,23.4,62.1,1.8,9.4,32521.0,30261.0,2260.0,6.9,56.9,22.0,81518.0,4.7,24667.0,61.3,17.6,6.3,5.9,558200.0,1507.0
45,Campbell,2013,Santa Clara,0.6057692307692308,0.5783132530120483,"(0.5, 0.65]",Okay,Okay,38692.0,37.2,17.8,59.2,1.8,15.5,22832.0,21426.0,1406.0,6.2,66.2,23.2,79464.0,7.6,17058.0,45.0,13.1,15.5,4.8,698400.0,1364.0
46,Canyon Lake,2013,Riverside,0.65625,0.6174418604651163,"(0.65, 0.8]",Okay,Good,10618.0,42.5,9.1,84.7,0.4,2.5,5289.0,4702.0,587.0,11.1,55.5,43.0,83845.0,5.0,4233.0,92.3,3.0,0.0,6.2,446600.0,1981.0
47,Capitola,2013,Santa Cruz,0.6587301587301587,0.6481481481481481,"(0.65, 0.8]",Okay,Good,9801.0,42.9,16.5,75.6,1.1,3.1,5716.0,5224.0,492.0,8.6,64.3,26.0,52389.0,9.4,5616.0,29.6,10.7,9.6,4.2,531900.0,1372.0
48,Carlsbad,2013,San Diego,0.6130952380952381,0.583969465648855,"(0.5, 0.65]",Okay,Okay,99753.0,39.9,13.3,76.1,0.8,7.2,51426.0,48104.0,3322.0,6.5,58.5,28.7,84728.0,7.2,43619.0,52.4,16.8,10.2,5.7,656000.0,1519.0
49,Carmel-by-the-Sea,2013,Monterey,0.7610062893081762,0.7392241379310345,"(0.65, 0.8]",Good,Good,3725.0,56.5,8.5,81.5,1.4,8.6,1797.0,1769.0,28.0,1.6,49.2,13.4,74489.0,4.9,3606.0,82.1,5.1,0.8,5.0,1000000.0,1692.0
50,Carpinteria,2013,Santa Barbara,0.7528735632183908,0.775462962962963,"(0.65, 0.8]",Good,Good,13122.0,40.5,45.7,47.4,0.3,3.3,7591.0,7018.0,573.0,7.5,65.6,20.3,63834.0,10.7,5472.0,39.7,7.9,5.5,4.6,669200.0,1353.0
51,Carson,2013,Los Angeles,0.6269430051813472,0.663538873994638,"(0.5, 0.65]",Good,Okay,91299.0,36.1,37.5,7.4,22.9,25.8,46740.0,42370.0,4370.0,9.3,61.2,25.6,68425.0,8.0,25705.0,70.6,9.1,5.6,5.5,422100.0,1190.0
52,Cathedral City,2013,Riverside,0.7028985507246377,0.6151419558359621,"(0.65, 0.8]",Okay,Good,50597.0,36.5,56.5,36.7,1.5,3.4,24661.0,22435.0,2226.0,9.0,58.1,19.6,45693.0,16.3,22437.0,55.7,13.5,2.7,5.0,294500.0,1046.0
53,Cerritos,2013,Los Angeles,0.6774193548387097,0.6569767441860465,"(0.65, 0.8]",Good,Good,49432.0,42.0,11.1,15.6,6.8,62.8,24202.0,22497.0,1705.0,7.0,55.1,30.0,88743.0,6.1,15175.0,84.6,8.9,2.5,6.2,633500.0,1915.0
54,Chico,2013,Butte,0.6290322580645162,0.5526315789473685,"(0.5, 0.65]",Okay,Okay,85130.0,28.2,14.8,73.8,1.7,4.6,45533.0,40575.0,4958.0,10.9,60.9,17.1,41835.0,21.2,37594.0,53.5,4.4,9.1,4.9,312000.0,901.0
55,Chino,2013,San Bernardino,0.7234042553191489,0.6781609195402298,"(0.65, 0.8]",Good,Good,77729.0,32.4,53.1,28.5,5.8,9.7,36464.0,33052.0,3412.0,9.4,57.4,30.7,71659.0,6.2,21121.0,71.5,5.5,8.2,5.8,425000.0,1200.0
56,Chino Hills,2013,San Bernardino,0.6486486486486487,0.7890625,"(0.5, 0.65]",Good,Okay,74410.0,34.7,28.3,35.8,4.2,28.2,40857.0,37644.0,3213.0,7.9,65.6,36.7,103891.0,4.1,23170.0,81.8,3.7,3.6,6.5,567100.0,1760.0
57,Chowchilla,2013,Madera,0.73,0.8696461824953445,"(0.65, 0.8]",Great,Good,18090.0,33.9,39.1,44.0,10.8,1.4,4068.0,3698.0,370.0,9.1,16.2,31.4,39902.0,18.4,3832.0,82.0,1.8,0.6,5.2,208200.0,867.0
58,Chula Vista,2013,San Diego,0.6698113207547169,0.6732456140350878,"(0.65, 0.8]",Good,Good,229614.0,33.4,55.9,22.2,4.5,13.9,110255.0,100528.0,9727.0,8.8,59.2,26.8,63779.0,9.6,80281.0,54.8,10.6,14.7,5.2,445000.0,1201.0
59,Claremont,2013,Los Angeles,0.660377358490566,0.6739130434782609,"(0.65, 0.8]",Good,Good,34713.0,36.4,20.5,60.3,4.0,10.2,17131.0,15937.0,1194.0,7.0,54.6,26.8,82015.0,6.4,11606.0,66.8,9.9,7.2,5.8,594600.0,1162.0
60,Clayton,2013,Contra Costa,0.6341463414634145,0.6568877551020409,"(0.5, 0.65]",Good,Okay,10819.0,42.7,6.5,81.3,0.9,7.4,5631.0,5314.0,317.0,5.6,59.9,31.8,135643.0,3.1,3945.0,81.8,13.2,2.2,7.2,685400.0,1830.0
61,Clearlake,2013,Lake,0.7093023255813953,0.6946902654867257,"(0.65, 0.8]",Good,Good,15074.0,37.5,22.1,67.2,4.3,0.5,5753.0,4866.0,887.0,15.4,48.1,27.6,26382.0,32.9,8487.0,52.2,2.0,3.8,4.3,145500.0,765.0
62,Clovis,2013,Fresno,0.6808510638297873,0.6483870967741936,"(0.65, 0.8]",Okay,Good,91166.0,33.8,24.5,59.3,3.2,8.9,46237.0,42025.0,4212.0,9.1,60.8,20.9,63229.0,10.2,34155.0,70.3,2.2,7.2,5.6,314700.0,951.0
63,Coachella,2013,Riverside,0.7807017543859649,0.6341463414634146,"(0.65, 0.8]",Okay,Good,38144.0,24.4,95.2,2.8,0.7,0.0,17053.0,14516.0,2537.0,14.9,61.8,20.3,43018.0,23.7,9341.0,69.8,3.1,1.9,5.4,204200.0,833.0
64,Coalinga,2013,Fresno,0.631578947368421,0.6502057613168725,"(0.5, 0.65]",Good,Okay,13086.0,33.3,48.6,37.2,9.5,1.7,3529.0,3363.0,166.0,4.7,54.5,17.3,46229.0,23.3,2902.0,65.0,1.1,4.3,5.1,204300.0,805.0
65,Colfax,2013,Placer,0.8035714285714286,0.743801652892562,"(0.8, 1.0]",Good,Great,1766.0,44.6,4.3,89.7,0.0,2.3,958.0,846.0,112.0,11.7,59.3,23.9,51667.0,6.0,854.0,65.5,5.2,1.3,5.1,315500.0,859.0
66,Colma,2013,San Mateo,0.8679245283018868,0.852,"(0.8, 1.0]",Great,Great,1527.0,33.6,44.1,18.3,1.2,33.9,1065.0,998.0,67.0,6.3,85.3,26.2,83750.0,2.8,491.0,46.2,25.3,3.9,5.2,627700.0,1572.0
67,Colton,2013,San Bernardino,0.7402597402597403,0.7330316742081449,"(0.65, 0.8]",Good,Good,52187.0,28.5,68.1,13.9,10.3,5.4,24264.0,21661.0,2603.0,10.7,60.8,25.9,43373.0,17.9,16597.0,58.4,3.5,6.9,4.9,255100.0,993.0
68,Commerce,2013,Los Angeles,0.7203219315895373,0.7050359712230216,"(0.65, 0.8]",Good,Good,12758.0,28.1,91.3,3.3,2.0,1.8,5182.0,4715.0,467.0,9.0,45.7,25.8,50667.0,13.8,3210.0,68.5,9.5,7.6,4.4,389600.0,894.0
69,Compton,2013,Los Angeles,0.5862068965517242,0.5756302521008403,"(0.5, 0.65]",Okay,Okay,95761.0,26.4,63.6,0.6,32.9,0.2,40185.0,34953.0,5232.0,13.0,52.6,28.1,43201.0,22.8,25085.0,68.6,9.4,3.3,4.9,330100.0,929.0
70,Concord,2013,Contra Costa,0.6842105263157895,0.5867768595041323,"(0.65, 0.8]",Okay,Good,121326.0,36.9,28.5,52.8,2.9,11.1,67804.0,62173.0,5631.0,8.3,63.8,29.5,65123.0,9.6,48071.0,58.0,6.8,14.4,5.2,470200.0,1188.0
72,Corona,2013,Riverside,0.6686046511627907,0.6155913978494624,"(0.65, 0.8]",Okay,Good,150497.0,31.5,42.8,39.0,5.4,8.9,78090.0,69944.0,8146.0,10.4,62.7,33.3,79180.0,8.9,45910.0,69.4,4.5,7.1,6.0,435500.0,1280.0
73,Coronado,2013,San Diego,0.5874999999999999,0.7255125284738041,"(0.5, 0.65]",Good,Okay,19721.0,38.8,15.6,75.5,3.4,2.9,6957.0,6552.0,405.0,5.8,52.8,20.1,91071.0,6.1,8659.0,45.4,10.7,24.9,4.8,1000000.0,1657.0
74,Costa Mesa,2013,Orange,0.7,0.6858407079646018,"(0.65, 0.8]",Good,Good,109316.0,33.7,34.2,52.9,1.0,8.8,64572.0,59885.0,4687.0,7.3,65.3,22.3,64864.0,13.3,42867.0,39.4,10.2,20.8,4.4,644900.0,1422.0
76,Covina,2013,Los Angeles,0.6967213114754098,0.667910447761194,"(0.65, 0.8]",Good,Good,47533.0,34.9,49.0,33.0,4.5,10.7,24738.0,22023.0,2715.0,11.0,61.2,31.5,64141.0,10.7,15976.0,58.1,9.0,12.9,5.3,446600.0,1176.0
77,Cudahy,2013,Los Angeles,0.5769230769230769,0.6567622950819672,"(0.5, 0.65]",Good,Okay,23854.0,26.0,95.8,2.1,0.4,0.9,10341.0,9295.0,1046.0,10.1,49.2,32.0,41805.0,24.3,5869.0,54.2,5.6,10.4,4.1,350300.0,1046.0
78,Culver City,2013,Los Angeles,0.6573033707865169,0.7108433734939759,"(0.65, 0.8]",Good,Good,38827.0,40.7,23.5,47.2,10.4,14.6,22409.0,20973.0,1436.0,6.4,66.3,25.0,72199.0,7.2,17558.0,39.6,9.1,24.3,4.6,618600.0,1394.0
79,Cupertino,2013,Santa Clara,0.6162790697674418,0.6604938271604939,"(0.5, 0.65]",Good,Okay,56498.0,39.2,4.2,33.0,0.9,58.6,26742.0,24897.0,1845.0,6.9,51.1,24.0,120201.0,4.6,20670.0,57.4,12.2,13.3,5.4,993500.0,1932.0
80,Cypress,2013,Orange,0.6388888888888888,0.6365853658536585,"(0.5, 0.65]",Okay,Okay,47314.0,39.8,16.3,46.8,2.1,31.0,24830.0,23330.0,1500.0,6.0,60.0,27.6,83196.0,6.3,16335.0,61.1,16.0,10.0,5.8,591000.0,1419.0
81,Daly City,2013,San Mateo,0.4423076923076923,0.5178571428571429,"(0.0, 0.5]",Okay,Low,99829.0,38.5,24.1,14.3,2.7,55.0,56402.0,51476.0,4926.0,8.7,63.0,28.4,74987.0,7.0,32569.0,48.5,14.6,14.8,4.8,611200.0,1396.0
82,Dana Point,2013,Orange,0.7054794520547945,0.7145454545454546,"(0.65, 0.8]",Good,Good,33484.0,44.7,13.1,81.0,0.4,2.6,18487.0,17315.0,1172.0,6.3,56.6,26.8,80609.0,5.5,16067.0,54.6,12.5,4.5,5.5,827200.0,1764.0
83,Davis,2013,Yolo,0.644736842105263,0.6295180722891567,"(0.5, 0.65]",Okay,Okay,64842.0,25.4,13.0,58.8,2.2,20.3,33920.0,31264.0,2656.0,7.8,57.0,20.0,59517.0,23.5,25502.0,47.0,8.6,15.4,5.1,571600.0,1207.0
84,Del Mar,2013,San Diego,0.6896551724137931,0.7845528455284553,"(0.65, 0.8]",Good,Good,4178.0,50.4,0.0,93.9,0.0,1.7,2348.0,2296.0,52.0,2.2,56.8,24.1,112566.0,3.7,2712.0,51.1,19.9,11.0,5.2,1000000.0,1839.0
86,Del Rey Oaks,2013,Monterey,0.6666666666666667,0.8166666666666667,"(0.65, 0.8]",Great,Good,1774.0,43.7,14.9,75.4,1.1,4.0,912.0,868.0,44.0,4.8,58.2,16.6,81154.0,4.0,752.0,79.1,3.3,2.5,5.3,653200.0,1815.0
87,Delano,2013,Kern,0.4625,0.5084033613445378,"(0.0, 0.5]",Okay,Low,51310.0,29.5,71.3,7.8,5.2,13.8,17689.0,15342.0,2347.0,13.3,56.2,24.3,35673.0,27.7,10871.0,70.5,4.4,2.6,5.2,184300.0,690.0
88,Desert Hot Springs,2013,Riverside,0.5526315789473684,0.44108280254777066,"(0.5, 0.65]",Low,Okay,24675.0,30.3,50.4,34.6,7.4,1.7,10716.0,8991.0,1725.0,16.1,53.9,31.8,36326.0,24.9,10817.0,65.4,1.7,2.5,4.9,202000.0,870.0
89,Diamond Bar,2013,Los Angeles,0.6413043478260869,0.638728323699422,"(0.5, 0.65]",Okay,Okay,55701.0,40.5,19.2,23.8,3.2,51.8,29169.0,27655.0,1514.0,5.2,57.0,34.7,87216.0,4.6,18356.0,72.0,9.2,1.9,6.3,574900.0,1666.0
90,Dixon,2013,Solano,0.7929292929292929,0.6900452488687783,"(0.65, 0.8]",Good,Good,17924.0,32.3,40.7,49.1,3.0,4.0,9450.0,8579.0,871.0,9.2,66.1,23.2,69742.0,8.6,6124.0,78.3,4.4,2.4,5.7,394400.0,1190.0
91,Downey,2013,Los Angeles,0.7258064516129032,0.759090909090909,"(0.65, 0.8]",Good,Good,110921.0,33.2,69.5,17.7,3.4,7.9,54872.0,49557.0,5315.0,9.7,57.7,26.6,59674.0,10.0,34836.0,57.3,3.9,19.0,4.8,522800.0,1139.0
92,Dublin,2013,Alameda,0.7372881355932204,0.717687074829932,"(0.65, 0.8]",Good,Good,42657.0,34.6,12.8,50.8,7.9,23.2,21399.0,19986.0,1413.0,6.6,62.8,29.5,107754.0,3.9,14061.0,54.4,12.0,17.2,5.6,652800.0,1702.0
93,East Palo Alto,2013,San Mateo,0.8588235294117648,0.9208542713567839,"(0.8, 1.0]",Great,Great,27894.0,28.0,61.6,7.4,17.1,3.4,13802.0,12473.0,1329.0,9.6,59.6,20.2,48734.0,16.6,8413.0,53.9,4.2,25.4,4.7,525600.0,1154.0
94,El Cajon,2013,San Diego,0.6689189189189189,0.6409574468085106,"(0.65, 0.8]",Okay,Good,97932.0,33.0,31.2,53.4,5.4,4.5,46866.0,41708.0,5158.0,11.0,57.0,23.5,47048.0,21.3,35490.0,40.8,4.9,22.2,4.5,388900.0,1017.0
96,El Monte,2013,Los Angeles,0.6911764705882353,0.6745762711864407,"(0.65, 0.8]",Good,Good,113888.0,31.6,68.7,5.1,0.5,24.8,53657.0,48580.0,5077.0,9.5,51.8,28.3,42750.0,20.7,28810.0,56.0,12.8,10.1,4.5,396600.0,1037.0
97,El Segundo,2013,Los Angeles,0.8133484162895928,0.8410596026490066,"(0.8, 1.0]",Great,Great,16534.0,38.6,18.2,69.5,1.7,5.8,9996.0,9518.0,478.0,4.8,65.7,21.5,89926.0,3.3,7464.0,42.8,4.8,12.5,4.6,804800.0,1457.0
98,Emeryville,2013,Alameda,0.7037037037037037,0.6492537313432836,"(0.65, 0.8]",Okay,Good,9393.0,34.4,9.9,40.3,14.5,32.2,6153.0,5772.0,381.0,6.2,66.5,28.6,61088.0,15.0,6117.0,6.3,6.0,67.5,3.4,437400.0,1428.0
99,Encinitas,2013,San Diego,0.6,0.5642458100558658,"(0.5, 0.65]",Okay,Okay,58761.0,40.9,15.5,77.5,0.3,3.9,32624.0,30825.0,1799.0,5.5,59.9,24.2,86845.0,8.0,25080.0,57.5,18.8,7.3,5.6,734800.0,1615.0
