,Jurisdiction,year,County,DiversionRateHouse,DiversionRateNoOfEmployee,Bins,D.R.E_category,D.R.H_category,Population,MedianAge,Latino,White,Black,Asian,LaberFocre,LaberForceEmplyed,LaberForceUnemployed,UnemploymentRate,FemalesEmploymentRate,CoummuteTime,MedianIncome,PovertyRate,TotalUnit,1-UnitDetached,1-UnitAttached,MoreThan20UnitsInStructure,MedianNoOfRooms,MedianHouseValue,MedianGrossRent,Jurisdiction_stat,lat,lon
12,Arcadia,2013,Los Angeles,0.682795699,0.689497717,"(0.65, 0.8]",Good,Good,55704,41.1,12.1,27.7,0.9,57.4,28074,26743,1331,4.7,54.1,28.1,77024,9.1,19488,61.1,10.3,9.6,5.6,786400,1315,"Arcadia, CA, USA",34.1362075,-118.0401497
13,Arcata,2013,Humboldt,0.621621622,0.595238095,"(0.5, 0.65]",Okay,Okay,17100,27.7,12.5,76.1,2.3,2.2,9542,8722,820,8.6,61.1,16.2,32017,28.5,7863,42.9,6.4,7.3,4.4,349800,797,"Arcata, CA, USA",40.866517,-124.08284
14,Arvin,2013,Kern,0.533333333,0.443396226,"(0.5, 0.65]",Low,Okay,18329,22.1,88.6,10.3,0,0.9,7519,6457,1062,14.1,49.9,25.1,32949,33.1,4346,72.8,2.7,3.2,5.1,169000,726,"Arvin, CA, USA",35.209129,-118.828431
15,Atherton,2013,San Mateo,0.780701754,0.775051125,"(0.65, 0.8]",Good,Good,6837,45.8,4.3,81.6,0.5,10.2,2549,2387,162,6.4,34.2,20.7,223611,7.1,2373,99.4,0.6,0,9,1000000,2000,"Atherton, CA, USA",37.4613272,-122.197743
16,Auburn,2013,Placer,0.648648649,0.523584906,"(0.5, 0.65]",Okay,Okay,13451,45.2,7.5,88.3,0.9,1,6798,6398,400,5.9,52.7,23.9,60756,8.9,6356,67.5,4.8,7.2,5.5,455700,921,"Auburn, CA, USA",38.8945939,-121.0739897
17,Avalon,2013,Los Angeles,0.563380282,0.642857143,"(0.5, 0.65]",Okay,Okay,3661,34.5,61.5,37.4,0,0,2298,2188,110,4.8,77.3,11.2,47634,11.5,2126,26.5,6.1,12.3,4,843000,1003,"Avalon, CA, USA",33.34221,-118.3272612
18,Avenal,2013,Kings,0.670454545,0.648648649,"(0.65, 0.8]",Okay,Good,15749,25.7,85.1,13.2,1.3,0.2,6428,5490,938,14.6,43.6,27.8,33350,37.7,3513,62,3.4,1.9,4.9,170100,643,"Avenal, CA, USA",36.0041223,-120.1290272
19,Azusa,2013,Los Angeles,0.666666667,0.622994652,"(0.65, 0.8]",Okay,Good,46015,28.1,66.8,21.1,3.3,7.6,24392,22322,2070,8.5,61.9,28.3,51894,17.4,13148,45.4,13.5,15.2,4.6,385200,1172,"Azusa, CA, USA",34.1338751,-117.9056046
20,Bakersfield,2013,Kern,0.638888889,0.605633803,"(0.5, 0.65]",Okay,Okay,331868,29.5,43.8,39.6,8,5.2,155591,139722,15869,10.2,58.4,22.1,53997,17.3,114587,70.8,2.8,4.9,5.4,245100,906,"Bakersfield, CA, USA",35.3738712,-119.0194639
21,Baldwin Park,2013,Los Angeles,0.63,0.715648855,"(0.5, 0.65]",Good,Okay,75387,30.5,81,5,0.6,12.3,34548,31028,3520,10.2,53.4,30,50346,15.9,18295,71.6,6.9,9.2,4.9,358800,1156,"Baldwin Park, CA, USA",34.0854739,-117.9611761
22,Banning,2013,Riverside,0.655737705,0.51465798,"(0.65, 0.8]",Okay,Good,29030,45.2,35.5,49.2,6.5,6,10279,9299,980,9.5,40.2,23.5,38979,14.6,13072,75.5,4.1,1.1,5,233200,920,"Banning, CA, USA",33.9255685,-116.875289
23,Barstow,2013,San Bernardino,0.702247191,0.730392157,"(0.65, 0.8]",Good,Good,22983,33.1,38.4,35.4,16.3,2.2,10239,9350,889,8.7,55.6,25.3,45166,21.4,9720,57,2.1,2.7,4.9,154400,784,"Barstow, CA, USA",34.8957684,-117.0172077
24,Beaumont,2013,Riverside,0.809278351,0.712589074,"(0.8, 1.0]",Good,Great,32847,32.7,39.3,45.9,3.3,8.6,14325,13358,967,6.8,51.9,32.3,66121,11,12348,82.2,1.9,2.6,5.4,278000,909,"Beaumont, CA, USA",33.9294606,-116.977248
25,Bell,2013,Los Angeles,0.6,0.746987952,"(0.5, 0.65]",Good,Okay,35648,28.3,91.8,6.3,1.2,0.2,15349,13739,1610,10.5,48.4,28.5,38473,22.6,9576,60.6,9,4.4,4,340300,950,"Bell, CA, USA",33.9775142,-118.1870156
26,Bell Gardens,2013,Los Angeles,0.639534884,0.652830189,"(0.5, 0.65]",Good,Okay,42408,27.3,96.1,2.4,0.5,0.6,18292,16816,1476,8.1,48.9,28.1,39167,22.7,10316,61.5,12.6,3.1,4.2,394600,997,"Bell Gardens, CA, USA",33.9652918,-118.1514588
