,Jurisdiction,year,County,DiversionRateHouse,DiversionRateNoOfEmployee,Bins,D.R.E_category,D.R.H_category,Population,MedianAge,Latino,White,Black,Asian,LaberFocre,LaberForceEmplyed,LaberForceUnemployed,UnemploymentRate,FemalesEmploymentRate,CoummuteTime,MedianIncome,PovertyRate,TotalUnit,1-UnitDetached,1-UnitAttached,MoreThan20UnitsInStructure,MedianNoOfRooms,MedianHouseValue,MedianGrossRent,Jurisdiction_stat,lat,lon
97,El Segundo,2013,Los Angeles,0.813348416,0.841059603,"(0.8, 1.0]",Great,Great,16534,38.6,18.2,69.5,1.7,5.8,9996,9518,478,4.8,65.7,21.5,89926,3.3,7464,42.8,4.8,12.5,4.6,804800,1457,"El Segundo, CA, USA",33.912594,-118.383179
98,Emeryville,2013,Alameda,0.703703704,0.649253731,"(0.65, 0.8]",Okay,Good,9393,34.4,9.9,40.3,14.5,32.2,6153,5772,381,6.2,66.5,28.6,61088,15,6117,6.3,6,67.5,3.4,437400,1428,"Emeryville, CA, USA",37.8314089,-122.2865266
99,Encinitas,2013,San Diego,0.6,0.56424581,"(0.5, 0.65]",Okay,Okay,58761,40.9,15.5,77.5,0.3,3.9,32624,30825,1799,5.5,59.9,24.2,86845,8,25080,57.5,18.8,7.3,5.6,734800,1615,"Encinitas, CA, USA",33.0369867,-117.2919818
100,Escalon,2013,San Joaquin,0.788135593,0.761138614,"(0.65, 0.8]",Good,Good,7054,38.4,25.4,70.2,0.9,1.7,3820,3376,444,11.6,60.9,30.5,65457,9,2809,84.9,0.5,1,5.6,306900,792,"Escalon, CA, USA",37.7544565,-121.0064221
101,Escondido,2013,San Diego,0.533898305,0.460606061,"(0.5, 0.65]",Low,Okay,140998,33.1,46.2,43.9,1.7,5.7,68850,63284,5566,8.1,54.1,27.4,51675,15.6,47411,50.8,6.2,13.1,5.2,404900,1116,"Escondido, CA, USA",33.1216751,-117.0814849
102,Eureka,2013,Humboldt,0.553846154,0.5,"(0.5, 0.65]",Low,Okay,26954,37.5,11.1,75.8,1.9,3.2,13357,12182,1175,8.8,54.5,14.7,34950,21.1,12295,63.7,3.8,3.6,4.8,288800,764,"Eureka, CA, USA",40.8020712,-124.1636729
103,Fairfield,2013,Solano,0.758823529,0.72246696,"(0.65, 0.8]",Good,Good,103698,32.8,25.9,35.3,16.2,15.2,50811,45973,4838,9.5,61.3,28.8,68009,11,36283,69,6.5,6.9,5.8,392700,1172,"Fairfield, CA, USA",38.2493581,-122.0399663
104,Ferndale,2013,Humboldt,0.411764706,0.555970149,"(0.0, 0.5]",Okay,Low,1693,43,5.6,87.7,0,0.2,881,839,42,4.8,62,18,64107,7.3,738,82.4,2.3,1.4,5.8,441000,904,"Ferndale, CA, USA",40.576241,-124.263944
105,Fillmore,2013,Ventura,0.62244898,0.702412869,"(0.5, 0.65]",Good,Okay,14721,33.3,73.9,22.9,0.2,2.3,6815,6321,494,7.2,53.7,31.8,58076,11.4,4491,72.6,5.3,4.4,5.4,410100,1138,"Fillmore, CA, USA",34.3985613,-118.9125093
106,Firebaugh,2013,Fresno,0.637254902,0.797587131,"(0.5, 0.65]",Good,Okay,7373,26.9,90,9.3,0.1,0.6,3036,2486,550,18.1,48.8,24.3,30000,33.5,2179,63.7,5.1,2.8,4.8,170500,627,"Firebaugh, CA, USA",36.8588376,-120.4560072
107,Folsom,2013,Sacramento,0.742857143,0.72519084,"(0.65, 0.8]",Good,Good,69068,36.4,11.4,66.7,7.3,11.9,32917,30535,2382,7.2,65.6,25.7,94642,3.7,23958,70.9,3.1,6.7,6.1,461200,1255,"Folsom, CA, USA",38.6779591,-121.1760583
108,Fontana,2013,San Bernardino,0.683333333,0.633333333,"(0.65, 0.8]",Okay,Good,189466,28.4,65.8,15.9,9.3,6.1,91473,82024,9449,10.3,58.9,31.3,63252,12.5,49967,80.2,2.4,5.2,5.9,346700,1083,"Fontana, CA, USA",34.0922335,-117.435048
109,Fort Bragg,2013,Mendocino,0.578947368,0.548543689,"(0.5, 0.65]",Okay,Okay,7196,40.5,32,61,0.1,0.8,3452,3074,378,11,55.1,14.3,34570,26.1,3313,62.7,4.5,4.3,4.6,375700,904,"Fort Bragg, CA, USA",39.4534731,-123.8149114
110,Fortuna,2013,Humboldt,0.593023256,0.583870968,"(0.5, 0.65]",Okay,Okay,11646,38.2,13.2,77.9,1.1,2.7,4776,4509,267,5.6,46.5,20.5,38712,19.1,4684,66.7,3.2,2.3,5.2,302400,781,"Fortuna, CA, USA",34.1926574,-118.9603248
111,Foster City,2013,San Mateo,0.648648649,0.711267606,"(0.5, 0.65]",Good,Okay,29746,39,6.3,43.6,1.8,42.8,16207,15321,886,5.5,62.4,26.4,111563,4.4,12268,37.4,21.2,19.8,5.2,851900,1918,"Foster City, CA, USA",37.5600336,-122.2688522
112,Fountain Valley,2013,Orange,0.652173913,0.61627907,"(0.65, 0.8]",Okay,Good,54961,42.6,11.9,50.1,1.1,33.4,29114,27223,1891,6.5,57.5,25.5,79364,6.2,19170,65.8,9.8,8,6.1,644200,1451,"Fountain Valley, CA, USA",33.7038145,-117.9627349
113,Fowler,2013,Fresno,0.876315789,0.871,"(0.8, 1.0]",Great,Great,5305,30.9,64.1,23,1.4,10.3,2587,2302,285,11,54,18.5,56750,20.1,1738,71.8,1.4,3.3,5.1,245100,723,"Fowler, CA, USA",36.6305058,-119.6784697
114,Fremont,2013,Alameda,0.727272727,0.723602484,"(0.65, 0.8]",Good,Good,209235,36.8,14.1,29.3,3.1,49,110431,103208,7223,6.5,59.7,29,96287,5.2,74218,58.5,13.4,17.2,5.4,641900,1456,"Fremont, CA, USA",37.5482697,-121.9885719
115,Fresno,2013,Fresno,0.689393939,0.658064516,"(0.65, 0.8]",Good,Good,484008,28.9,45.7,31.7,7.5,12.2,224259,196453,27806,12.4,57.8,20.8,43124,24.9,169066,60.9,2.7,6.9,5,244200,832,"Fresno, CA, USA",36.7295295,-119.7088613
117,Fullerton,2013,Orange,0.721518987,0.720512821,"(0.65, 0.8]",Good,Good,132872,34.5,32.8,38.6,2.8,23,69813,64575,5238,7.5,59.8,26.5,67179,11.3,47956,50.6,10.1,15.4,4.9,582600,1275,"Fullerton, CA, USA",33.8708215,-117.9294165
118,Galt,2013,Sacramento,0.682926829,0.637254902,"(0.65, 0.8]",Okay,Good,23074,32.7,42.5,52.4,0.6,1.4,11098,10031,1067,9.6,60.5,28.2,58476,12.2,7549,83.7,6.6,1.4,5.5,308500,1178,"Galt, CA, USA",38.3012325,-121.3310372
119,Garden Grove,2013,Orange,0.522727273,0.528735632,"(0.5, 0.65]",Okay,Okay,169009,34.9,37.9,23.1,0.9,35.7,84391,76208,8183,9.7,57.6,27.1,61026,12.9,47454,57.1,8.4,10,5,472900,1284,"Garden Grove, CA, USA",33.7746292,-117.9463717
120,Gardena,2013,Los Angeles,0.5125,0.579646018,"(0.5, 0.65]",Okay,Okay,58668,37.2,36.6,9.6,22.2,27.7,28831,26131,2700,9.4,56.9,26,46837,15.9,22254,45,6.4,12.7,4.3,417800,998,"Gardena, CA, USA",33.888658,-118.307648
121,Gilroy,2013,Santa Clara,0.637096774,0.580745342,"(0.5, 0.65]",Okay,Okay,46807,32.7,57.4,32.2,1.3,6.4,23340,21272,2068,8.9,61.4,28.9,71340,8.7,14772,67.3,6,4.5,5.8,592300,1167,"Gilroy, CA, USA",37.0065078,-121.5631723
122,Glendale,2013,Los Angeles,0.663636364,0.688811189,"(0.65, 0.8]",Good,Good,192190,40.6,16.8,63.5,1.7,16.2,101626,93467,8159,8,56.5,25.6,54677,13,75007,36.4,4.7,21.6,4.1,635100,1220,"Glendale, CA, USA",34.142498,-118.248596
123,Glendora,2013,Los Angeles,0.648148148,0.610497238,"(0.5, 0.65]",Okay,Okay,49882,39.2,28.2,60.6,2,7,24901,22994,1907,7.7,56.3,29.3,75954,6.5,17184,73.9,7.9,4.6,5.8,529200,1300,"Glendora, CA, USA",34.1361187,-117.865339
124,Grand Terrace,2013,San Bernardino,0.632653061,0.52016129,"(0.5, 0.65]",Okay,Okay,12115,37.3,36.3,50.1,3.9,8.1,6677,6132,545,8.2,62.2,23.7,62335,3.9,4634,62.2,2.7,4.4,5.5,335200,1140,"Grand Terrace, CA, USA",34.0339031,-117.3136544
125,Grass Valley,2013,Nevada,0.791666667,0.791666667,"(0.65, 0.8]",Good,Good,12765,41.2,14.4,79,0.9,2,5457,4988,469,8.6,45.5,15.6,35385,16.3,6087,44.6,3,13,4.3,346100,902,"Grass Valley, CA, USA",39.2086655,-121.0531231
126,Guadalupe,2013,Santa Barbara,0.43,0.442942943,"(0.0, 0.5]",Low,Low,6770,30.8,84.8,11.2,0.7,2.2,3376,3149,227,6.7,60.7,21.7,42978,14.8,2007,60.9,9.9,2.2,4.9,270100,934,"Guadalupe, CA, USA",34.971644,-120.5718363
127,Half Moon Bay,2013,San Mateo,0.54787234,0.568825911,"(0.5, 0.65]",Okay,Okay,11126,42.1,29.7,63.6,1,4,6180,5712,468,7.6,61.5,26.7,92875,6.5,4245,62.6,12.5,3.9,5.7,753900,1545,"Half Moon Bay, CA, USA",37.4635519,-122.4285862
128,Hawaiian Gardens,2013,Los Angeles,0.594594595,0.677966102,"(0.5, 0.65]",Good,Okay,14328,30.1,74.1,10.3,3,10.5,6907,6421,486,7,50.2,23.9,52034,15.8,3938,46.9,14,11,4.6,351000,1077,"Hawaiian Gardens, CA, USA",33.8284787,-118.0743137
129,Hawthorne,2013,Los Angeles,0.701923077,0.747933884,"(0.65, 0.8]",Good,Good,84195,30.8,51.2,11.5,28,6.4,41718,38773,2945,7.1,60,28.9,44469,16.1,30102,29.2,4.4,31.8,3.9,501400,972,"Hawthorne, CA, USA",33.911454,-118.34816
130,Hayward,2013,Alameda,0.728571429,0.707482993,"(0.65, 0.8]",Good,Good,141498,33.4,39.3,19.8,11.8,23,75577,66877,8700,11.5,62.3,27.8,61268,12.5,48947,52.2,8.5,16,4.8,434000,1224,"Hayward, CA, USA",37.6688205,-122.0807964
131,Hemet,2013,Riverside,0.721428571,0.647286822,"(0.65, 0.8]",Okay,Good,76403,38.8,36.3,53.3,3.9,2.6,28300,23853,4447,15.7,41.8,31,35306,18,33981,48,4.4,7.3,4.9,156600,949,"Hemet, CA, USA",33.778562,-117.0357666
132,Hesperia,2013,San Bernardino,0.74137931,0.702623907,"(0.65, 0.8]",Good,Good,86405,29,47.2,42.8,5.1,2.1,37013,31313,5700,15.4,51.5,38.4,48386,19.2,26965,80.9,2.4,1.9,5.8,250900,1033,"Hesperia, CA, USA",34.4263886,-117.3008784
133,Highland,2013,San Bernardino,0.675,0.822826087,"(0.65, 0.8]",Great,Good,52341,29.7,48.4,33,8.9,6.6,23919,21349,2570,10.7,58.8,24.2,59549,17.3,15752,76.4,1.8,4.9,5.5,334200,967,"Highland, CA, USA",34.1283442,-117.2086513
134,Hillsborough,2013,San Mateo,0.761538462,0.743150685,"(0.65, 0.8]",Good,Good,10650,47.3,2.5,65.3,0.9,27.2,4577,4322,255,5.6,41.5,25.1,209231,2.8,3885,97.8,1.9,0,9,1000000,2000,"Hillsborough, CA, USA",40.4978545,-122.3794
136,Huntington Beach,2013,Orange,0.769230769,0.775641026,"(0.65, 0.8]",Good,Good,188914,39.8,17.2,68.6,0.6,10.7,106883,99448,7435,7,61.5,26.2,80280,7,79166,49.4,11.7,11.2,5.4,689400,1464,"Huntington Beach, CA, USA",37.5741,-118.0000166
137,Huntington Park,2013,Los Angeles,0.648148148,0.727118644,"(0.5, 0.65]",Good,Okay,58642,28.8,97.4,1.3,0.2,0.8,27062,24870,2192,8.1,53.3,29.6,37224,24,15321,41.4,13.4,13.8,3.6,397700,852,"Huntington Park, CA, USA",33.9816812,-118.2250725
138,Huron,2013,Fresno,0.482142857,0.630841121,"(0.0, 0.5]",Okay,Low,6691,21.8,100,0,0,0,2304,1912,392,17,45.4,22.3,20410,54.5,1689,31.5,5.9,0,4.6,158700,505,"Huron, CA, USA",36.2027308,-120.1029177
139,Imperial Beach,2013,San Diego,0.6375,0.694300518,"(0.5, 0.65]",Good,Okay,26254,29.6,49.4,36.4,4.5,5.9,12221,11041,1180,9.7,58,25.9,45418,19.5,10663,39.4,7.8,12.8,4.1,405600,1073,"Imperial Beach, CA, USA",32.5839444,-117.1130849
140,Indian Wells,2013,Riverside,0.755813953,0.696078431,"(0.65, 0.8]",Good,Good,4858,68,7.6,88.6,1.8,0.9,1668,1571,97,5.8,32.3,20.1,131250,3.8,5172,65.5,22.2,3.8,6.1,755400,957,"Indian Wells, CA, USA",33.7217965,-116.3383034
141,Indio,2013,Riverside,0.793103448,0.698033708,"(0.65, 0.8]",Good,Good,72486,30.7,65.7,26.2,2.2,1.4,34011,30363,3648,10.7,56.9,20.6,51921,19.7,27796,64.9,4.6,2.8,5.1,286400,926,"Indio, CA, USA",33.7192808,-116.2188054
142,Industry,2013,Los Angeles,0.55992596,0.715625,"(0.5, 0.65]",Good,Okay,368,52.1,37,38.3,8.2,16.6,114,103,11,9.6,29.3,18.8,75521,37.3,75,97.3,0,0,5.2,366700,819,"Industry, CA, USA",33.996821,-117.8861106
143,Inglewood,2013,Los Angeles,0.673076923,0.694444444,"(0.65, 0.8]",Good,Good,110053,32.3,49.7,3.3,42.8,1.3,54199,49000,5199,9.6,61.5,28.2,43460,19.8,38840,38.4,6,12.6,4.3,419300,985,"Inglewood, CA, USA",33.96185,-118.3550377
144,Irvine,2013,Orange,0.717821782,0.666666667,"(0.65, 0.8]",Good,Good,199117,32.8,9,47.4,1.8,37.8,104728,98981,5747,5.5,57.5,22.3,90939,10.2,76184,37,20.2,19,4.9,677100,1788,"Irvine, CA, USA",33.6856969,-117.8259819
145,Irwindale,2013,Los Angeles,0.77254509,0.74742268,"(0.65, 0.8]",Good,Good,1443,29.5,92.4,5.5,1,1.2,681,578,103,15.1,55.6,23.9,59028,11.4,392,92.1,2.6,0,5.4,395100,1097,"Irwindale, CA, USA",34.1069527,-117.9353413
146,Isleton,2013,Sacramento,0.603448276,0.545714286,"(0.5, 0.65]",Okay,Okay,928,46.5,39.9,48.5,1.2,9.1,414,362,52,12.6,51.5,33.9,39583,10,459,56.4,0,0,4.4,243300,700,"Isleton, CA, USA",38.1618614,-121.6116206
147,Kerman,2013,Fresno,0.594594595,0.698347107,"(0.5, 0.65]",Good,Okay,12708,29.7,69.8,21.3,0,8.2,5569,4923,646,11.6,50.9,27.6,48973,22,3696,72.2,2.6,4.6,5,255400,729,"Kerman, CA, USA",36.7235543,-120.0599144
150,Kingsburg,2013,Fresno,0.576923077,0.517730496,"(0.5, 0.65]",Okay,Okay,11041,29.5,46.7,44.2,0.1,5.2,5257,4727,530,10.1,53.2,18.8,55218,15.8,3817,72.9,1.2,5.3,5.3,252800,878,"Kingsburg, CA, USA",36.5138398,-119.5538929
152,La Habra,2013,Orange,0.684615385,0.714285714,"(0.65, 0.8]",Good,Good,59772,33,56.7,31.8,2,7.5,31513,29223,2290,7.3,61.5,27.9,62078,10.8,19559,52.7,7.6,15.5,4.8,472400,1242,"La Habra, CA, USA",33.9330156,-117.944777
153,La Habra Heights,2013,Los Angeles,0.598591549,0.695634921,"(0.5, 0.65]",Good,Okay,5278,45.1,21.2,61,0,14.8,2386,2252,134,5.6,45.7,27.3,121380,2.1,1856,96.6,3.4,0,7.4,906500,986,"La Habra Heights, CA, USA",33.9604546,-117.9504255
154,La Mesa,2013,San Diego,0.717741935,0.699275362,"(0.65, 0.8]",Good,Good,56250,38,17.3,63.7,6.7,6.5,30393,27735,2658,8.7,62.2,22.3,52932,11.7,25827,47.7,6.1,18.5,4.5,437000,1137,"La Mesa, CA, USA",32.7678288,-117.0230839
155,La Mirada,2013,Los Angeles,0.596153846,0.565068493,"(0.5, 0.65]",Okay,Okay,48174,36.4,39.8,38,1.9,17.2,23563,21863,1700,7.2,55.6,29.6,79347,5.2,14933,80.1,5,7,5.7,508100,1338,"La Mirada, CA, USA",33.9060971,-118.0107092
156,La Palma,2013,Orange,0.696078431,0.780254777,"(0.65, 0.8]",Good,Good,15479,40.9,15.6,31.8,5.2,43.6,7433,7148,285,3.8,54.4,30.1,89788,6.2,4858,77.7,9,8.5,6.4,615500,1256,"La Palma, CA, USA",34.194769,-118.959114
157,La Puente,2013,Los Angeles,0.578947368,0.695322377,"(0.5, 0.65]",Good,Okay,40075,29.8,86.7,5.4,0.1,7.3,18933,17460,1473,7.8,54.5,32.6,51023,12,9777,69.2,5,13.4,5.4,372300,1057,"La Puente, CA, USA",34.01979,-117.9503677
158,La Quinta,2013,Riverside,0.77,0.777298851,"(0.65, 0.8]",Good,Good,35661,42.8,30.1,62.4,2.1,3.1,16815,15845,970,5.8,55.1,21.8,75358,9.3,20828,78.9,10.2,0.7,5.6,448600,1412,"La Quinta, CA, USA",34.1827738,-118.9094923
159,La Verne,2013,Los Angeles,0.6875,0.668393782,"(0.65, 0.8]",Good,Good,31177,40.9,27.8,59.2,4.3,6.2,15782,14548,1234,7.8,57.6,28.7,77227,6.8,11393,65.1,8,2.7,5.9,512400,1171,"La Verne, CA, USA",34.1008426,-117.7678355
160,Laguna Beach,2013,Orange,0.720472441,0.731023102,"(0.65, 0.8]",Good,Good,22788,47.9,6.6,86.5,0.4,4.6,12818,12256,562,4.4,57.2,29.8,98634,7.5,13243,65.7,5.3,6,5.2,1000000,1771,"Laguna Beach, CA, USA",33.5420888,-117.7834147
161,Laguna Hills,2013,Orange,0.698275862,0.683035714,"(0.65, 0.8]",Good,Good,30416,40.7,21.9,62.6,0.8,10.2,16970,15698,1272,7.5,59.8,25.6,87337,8.5,11126,58.2,17.4,8.7,5.9,627600,1727,"Laguna Hills, CA, USA",33.5948758,-117.6882067
162,Laguna Niguel,2013,Orange,0.75,0.773489933,"(0.65, 0.8]",Good,Good,62614,43,11.6,73.2,1.7,9.8,34119,31664,2455,7.2,60.9,27.3,97018,5.5,25805,56.8,20.2,4.5,5.9,748300,1737,"Laguna Niguel, CA, USA",33.5225261,-117.7075526
163,Lake Elsinore,2013,Riverside,0.613207547,0.540772532,"(0.5, 0.65]",Okay,Okay,48644,28.3,46.6,39.7,5.5,4.7,23885,21271,2614,10.9,61.9,42.5,63726,12.4,15707,74,5,2.9,6.1,293700,1149,"Lake Elsinore, CA, USA",33.6680772,-117.3272615
164,Lake Forest,2013,Orange,0.79245283,0.801652893,"(0.65, 0.8]",Great,Good,76724,37.9,22.4,59,1.5,13.2,43789,41346,2443,5.6,66.6,26,91040,5.3,28053,54,15.2,6.6,5.5,579000,1664,"Lake Forest, CA, USA",33.6155059,-117.7061294
166,Lakeport,2013,Lake,0.745901639,0.761261261,"(0.65, 0.8]",Good,Good,4855,47.9,16.3,77.3,1.2,0.5,2068,1853,215,10.4,50.6,19.7,34340,12.6,2344,62.1,4.5,3.5,4.9,308400,860,"Lakeport, CA, USA",39.0429506,-122.9158293
167,Lakewood,2013,Los Angeles,0.71875,0.673267327,"(0.65, 0.8]",Good,Good,79859,36.5,29.1,41.3,7.7,16.8,42570,39844,2726,6.4,64.4,27.3,77380,5.2,26597,82.7,3.5,6.9,5.6,499100,1388,"Lakewood, CA, USA",33.8503463,-118.1171914
168,Lancaster,2013,Los Angeles,0.71875,0.672413793,"(0.65, 0.8]",Good,Good,149709,30.6,36.2,36.4,18.6,5.6,62077,55874,6203,10,51.5,31.1,51192,20.2,50235,69.5,1.6,6.2,5.9,252100,1081,"Lancaster, CA, USA",34.6981064,-118.1366153
169,Lathrop,2013,San Joaquin,0.759803922,0.623170732,"(0.65, 0.8]",Okay,Good,17040,30.1,45.5,24.2,4.8,22.4,8173,7120,1053,12.9,61.7,40,68226,8.3,5124,88.6,2.1,1.3,6.2,289800,1534,"Lathrop, CA, USA",37.8227046,-121.27661
170,Lawndale,2013,Los Angeles,0.632352941,0.677725118,"(0.5, 0.65]",Good,Okay,32552,30.5,61.9,18.1,6.8,10.1,15952,14146,1806,11.3,58.3,25.5,48357,15.8,10376,52.3,14,10.3,4.3,439500,1264,"Lawndale, CA, USA",33.88711,-118.3531481
171,Lemon Grove,2013,San Diego,0.574468085,0.488888889,"(0.5, 0.65]",Low,Okay,25074,35.4,39.8,38.1,11.2,6.1,11528,10723,805,7,58.3,24.3,50839,16.4,9128,66.8,8.9,8.3,5.1,378000,1089,"Lemon Grove, CA, USA",32.7425516,-117.0314172
172,Lincoln,2013,Placer,0.82278481,0.778481013,"(0.8, 1.0]",Good,Great,37771,40.6,18,69.7,2,5.8,15537,14473,1064,6.8,46.4,29.2,73375,6.7,15547,89.3,2.1,1.2,5.8,395500,1402,"Lincoln, CA, USA",38.8598295,-121.3423921
173,Livermore,2013,Alameda,0.771084337,0.745856354,"(0.65, 0.8]",Good,Good,78520,38.7,19.2,66.4,1.9,9,43517,40548,2969,6.8,63.9,28,93988,5.6,29796,70.8,8.4,5.4,5.9,592500,1314,"Livermore, CA, USA",37.6820583,-121.7680531
174,Lodi,2013,San Joaquin,0.689655172,0.687763713,"(0.65, 0.8]",Good,Good,62225,34.2,33.2,57.4,1.4,6,28324,25631,2693,9.5,50.6,23.4,48695,15.8,22876,63.1,6.1,12.4,5,334000,986,"Lodi, CA, USA",38.097198,-121.3878496
175,Loma Linda,2013,San Bernardino,0.77173913,0.787878788,"(0.65, 0.8]",Good,Good,22837,35.9,27.2,41.1,4.7,24.6,11316,10551,765,6.8,53.2,18.9,56112,12.7,9484,46.6,7.4,9.2,4.6,348000,1100,"Loma Linda, CA, USA",34.0754931,-117.2458601
176,Lomita,2013,Los Angeles,0.726415094,0.794258373,"(0.65, 0.8]",Good,Good,20186,37.8,35.9,41.1,2.6,14.4,10648,10161,487,4.6,61.3,25.4,62464,8.6,8238,49.1,9.2,19.1,4.4,532100,1139,"Lomita, CA, USA",34.195861,-118.959728
177,Lompoc,2013,Santa Barbara,0.704918033,0.726744186,"(0.65, 0.8]",Good,Good,41864,32,49,37.2,6.3,3.5,18687,16866,1821,9.7,61.2,26.1,46932,18.9,14274,54.2,5.3,3.7,4.9,330600,917,"Lompoc, CA, USA",34.653658,-120.457367
178,Long Beach,2013,Los Angeles,0.743421053,0.747011952,"(0.65, 0.8]",Good,Good,461823,32.6,40.3,29.4,12.9,13.1,239661,215520,24141,10.1,61.2,27.9,51173,19.1,175732,42.3,5.8,15.1,4.3,508900,1033,"Long Beach, CA, USA",33.78538945,-118.1580493
179,Loomis,2013,Placer,0.64516129,0.578703704,"(0.5, 0.65]",Okay,Okay,6501,43.7,4.2,88.9,0.2,5.2,3386,3328,58,1.7,59.7,26.7,74722,5.9,2613,85.4,5.8,0,6,384800,1213,"Loomis, CA, USA",38.8212889,-121.1930041
180,Los Alamitos,2013,Orange,0.648148148,0.666666667,"(0.5, 0.65]",Good,Okay,11414,40,20.3,57.9,3.2,14.1,5792,5431,361,6.2,57.1,27.4,76528,5.6,4268,47.7,8.5,4.9,4.9,688400,1418,"Los Alamitos, CA, USA",33.8038865,-118.0772433
181,Los Altos,2013,Santa Clara,0.704545455,0.716666667,"(0.65, 0.8]",Good,Good,28409,45.4,5.8,67.7,0.2,21.2,12733,11958,775,6.1,49.1,21.3,149964,2.2,11097,83.6,5,6.1,6.7,1000000,2000,"Los Altos, CA, USA",37.3790629,-122.116578
182,Los Altos Hills,2013,Santa Clara,0.852941176,0.875,"(0.8, 1.0]",Great,Great,7858,48.8,1.5,63.2,0.2,33.5,3241,3132,109,3.4,36.1,23,219485,2.6,2839,98.3,0.3,0.5,8.5,1000000,2000,"Los Altos Hills, CA, USA",37.3796627,-122.1374637
184,Los Gatos,2013,Santa Clara,0.666666667,0.650862069,"(0.65, 0.8]",Good,Good,28878,43.4,5.3,80.9,1.6,9.5,14455,13549,906,6.3,55.4,23.4,120971,3.5,12819,57.9,13.6,10.5,5.8,1000000,1637,"Los Gatos, CA, USA",37.226611,-121.9746797
185,Madera,2013,Madera,0.62244898,0.637931034,"(0.5, 0.65]",Okay,Okay,59006,27.4,73.9,19.2,3.1,2.5,24346,21267,3079,12.6,49.7,24.4,40889,25.7,17598,71.7,1.9,4.4,5.1,230300,841,"Madera, CA, USA",36.9622745,-120.0594685
187,Malibu,2013,Los Angeles,0.614130435,0.698275862,"(0.5, 0.65]",Good,Okay,12794,42.5,6.7,82,1.4,4.5,6163,5741,422,6.8,49.5,29.5,125202,6.3,6252,69.6,7.9,5.7,6.3,1000000,2000,"Malibu, CA, USA",34.035591,-118.689423
188,Mammoth Lakes,2013,Mono,0.730113636,0.762917933,"(0.65, 0.8]",Good,Good,8005,31.8,34.5,61.6,1.2,0.4,5473,5163,310,5.7,80.8,12.1,54414,15.2,9385,24.6,3,12.1,4.1,729700,1091,"Mammoth Lakes, CA, USA",37.6268015,-118.84675
189,Manteca,2013,San Joaquin,0.589285714,0.535545024,"(0.5, 0.65]",Okay,Okay,64959,32.4,36.8,49,3.2,6.5,32770,28907,3863,11.8,63.2,33.6,60944,9.1,23063,76.4,4.9,4.9,5.6,324900,1077,"Manteca, CA, USA",37.7986184,-121.2117148
190,Maricopa,2013,Kern,0.587719298,0.520725389,"(0.5, 0.65]",Okay,Okay,1205,32.5,21.1,76.3,0.7,0.9,406,318,88,21.7,24.1,34.8,39464,33.8,428,40.2,0.7,0,5.1,87200,728,"Maricopa, CA, USA",35.058858,-119.4009509
191,Marina,2013,Monterey,0.753623188,0.790123457,"(0.65, 0.8]",Good,Good,19529,35.3,26.9,36.1,7.4,17.2,10330,9660,670,6.5,62.3,24.1,51547,14.9,7687,45.8,9.4,9.5,4.7,514900,1054,"Marina, CA, USA",36.6900785,-121.8006398
193,Martinez,2013,Contra Costa,0.598360656,0.566964286,"(0.5, 0.65]",Okay,Okay,35622,43.1,14,70.8,4.1,7.4,19626,18164,1462,7.4,66.7,26.4,75679,7.9,15462,62.7,14.2,6.8,5.5,520800,1201,"Martinez, CA, USA",38.0103311,-122.1298309
194,Maywood,2013,Los Angeles,0.558823529,0.694202899,"(0.5, 0.65]",Good,Okay,27515,26.9,97.5,1.3,0.5,0.7,12571,11052,1519,12.1,49.8,28.8,38740,22.5,6907,54.5,12.9,4.6,4,360200,941,"Maywood, CA, USA",33.9866807,-118.185349
195,McFarland,2013,Kern,0.586206897,0.793103448,"(0.5, 0.65]",Good,Okay,12302,25.5,89.2,7.1,1.2,0.9,4729,3919,810,17.1,49.8,27.4,35656,34.9,2693,84,2,2.3,5.2,163800,675,"McFarland, CA, USA",35.6780104,-119.2292748
197,Mendota,2013,Fresno,0.375,0.508928571,"(0.0, 0.5]",Okay,Low,10459,24.2,97.6,0,0,1.2,4122,3230,892,21.6,46.7,27.5,25216,44.6,2796,57.9,6.4,2.4,4.8,151000,603,"Mendota, CA, USA",36.7535486,-120.3815579
198,Menlo Park,2013,San Mateo,0.706666667,0.739130435,"(0.65, 0.8]",Good,Good,31318,39,17.6,63.1,5.6,9.8,16826,15811,1015,6,60.3,22.1,107860,6.2,13313,55.2,7.9,10.6,5.2,1000000,1710,"Menlo Park, CA, USA",37.4538274,-122.1821871
200,Millbrae,2013,San Mateo,0.698113208,0.666666667,"(0.65, 0.8]",Good,Good,21007,45.2,15,41.7,2,39,10654,10064,590,5.5,55.4,27.3,80763,5.9,8537,63.6,3.5,14.8,5.5,925300,1433,"Millbrae, CA, USA",37.5985468,-122.3871942
201,Milpitas,2013,Santa Clara,0.603174603,0.577319588,"(0.5, 0.65]",Okay,Okay,65150,35.7,16.4,17.3,2.8,59.1,33345,30912,2433,7.3,60.8,22.2,92694,5.8,19832,58.9,16.9,9.2,5.5,608000,1572,"Milpitas, CA, USA",37.4282724,-121.9066238
